Docket Number,Violation Number,Issued Date,Issuing Department,Last Hearing Date,Property Address,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due,X Coordinate,Y Coordinate
12CP072041,P003361699|P003361700|P003361701|P003361702|P003361703|P003361704,09/27/2012,POLICE,12/07/2012 9:00:00 AM,3247 S MORGAN,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"U S BANK AND TRUST, ",City non-suit,0,0,0,0,0,0,0,0,41.8350106,-87.65079295
12CP072146,P003261076|P003261077|P003261078|P003261079|P003261080|P003261081,10/01/2012,POLICE,11/02/2012 9:00:00 AM,6508 S DAMEN,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"NATION STAR MORTGAGE LLC, ",Default - Liable by prove-up,4300,0,2055.17,1223.88,0,7619.05,2170,0,41.77538345,-87.67407532
12CP072148,P003260547|P003260548|P003260549|P003260550|P003261051|P003261052,10/01/2012,POLICE,11/02/2012 9:00:00 AM,6208 S MORGAN,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CHASE REO GROUP LLC, ",Default - Liable by prove-up,4300,0,3180.45,1223.88,200,8944.33,0,8845.88,41.78114565,-87.64994553
12CP072692,P003175540|P003175541,09/27/2012,POLICE,11/02/2012 11:00:00 AM,8718 S MACKINAW,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"CHASE REO GROUP LLC, ",Default - Liable by prove-up,1300,0,981.98,377.88,80,2779.86,0,2749.46,41.73683265,-87.54335283
12CP073233,P003211120|P003211121,09/24/2012,POLICE,11/01/2012 1:00:00 AM,3600 W LEXINGTON,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"U S BANK NA, ",City non-suit,0,0,0,0,0,0,0,0,41.871826,-87.715759
12CP073699,P003265536|P003265537|P003265538|P003265539|P003265540|P003265541,09/18/2012,POLICE,11/02/2012 9:00:00 AM,100  UNKNOWN,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA NA, ",City non-suit,0,0,0,0,0,0,0,0,,
12CP073699,P003265536|P003265537|P003265538|P003265539|P003265540|P003265541,09/18/2012,POLICE,11/02/2012 9:00:00 AM,4444 S LEAMINGTON,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA NA, ",City non-suit,0,0,0,0,0,0,0,0,41.81170235,-87.75210121
12CP073701,P002022364|P002022365|P002022366|P003265526|P003265528|P003265529|P003338899,09/21/2012,POLICE,01/04/2013 9:00:00 AM,5931 S WASHTENAW,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"J P MORGAN CHASE BANK NA, ",City non-suit,700,0,14.63,0,0,754.63,751.86,0,41.78552145,-87.69084266
12CP073701,P002022367|P003265527|P003338900,09/21/2012,POLICE,01/04/2013 9:00:00 AM,5931 S WASHTENAW,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"J P MORGAN CHASE BANK NA, ",Liable - By Plea - Motion to set-aside default granted,700,0,14.63,0,0,754.63,751.86,0,41.78552145,-87.69084266
12CP073703,P002022352|P002022353|P002022354|P002022355|P003338881|P003338882|P003338883|P003338884|P003338885|P003338886,08/16/2012,POLICE,11/02/2012 9:00:00 AM,7121 S TALMAN,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"U S BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.7639175,-87.68910687
12CP073710,P003260652|P003260653|P003260654,09/29/2012,POLICE,11/02/2012 9:00:00 AM,5753 S HONORE,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"GMAC MORTGAGE CORP, ",City non-suit,0,0,0,0,0,0,0,0,41.78880175,-87.67025623
12CP073714,P003361538|P003361539|P003361540,10/02/2012,POLICE,12/07/2012 9:00:00 AM,1327 W 49TH PL,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",City non-suit,0,0,0,0,0,0,0,0,41.80396845,-87.65864137
12CP073920,P003261065|P003261066|P003261067|P003261068|P003261069|P003261070,10/08/2012,POLICE,12/07/2012 9:00:00 AM,6114 S BISHOP,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"REO PARTNERS LLC, ",Dismissed for want of prosecution - No service,0,0,0,0,0,0,0,0,41.78265795,-87.66091531
12CP074344,P003361377|P003361378|P003361379,10/11/2012,POLICE,12/07/2012 9:00:00 AM,5432 S WINCHESTER,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA NA, ",City non-suit,0,0,0,0,0,0,0,0,41.7947797,-87.6733672
12CP074349,P002166119|P002166120,10/12/2012,POLICE,12/07/2012 1:00:00 AM,2725 W EVERGREEN,13-12-140  Watchman required|13-12-140  Watchman required,"J P MORGAN CHASE BANK NA, ",City non-suit,0,0,0,0,0,0,0,0,41.90559897,-87.69498012
12CP074353,P003224426|P003224427,10/11/2012,POLICE,12/07/2012 1:00:00 AM,1305 N MASON,13-12-140  Watchman required|13-12-140  Watchman required,"CHASE HOME FINANCE LLC, ",City non-suit,0,0,0,0,0,0,0,0,41.90401892,-87.77410487
12CP074357,P003261101|P003261102|P003261103|P003261104|P003261105|P003261106,10/07/2012,POLICE,01/04/2013 9:00:00 AM,6508 S DAMEN,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"NATION STAR MORTGAGE LLC, ",City non-suit,0,0,0,0,0,0,0,0,41.77538345,-87.67407532
12CP075209,P003361814|P003361815|P003361816|P003361817|P003361818|P003361819,10/16/2012,POLICE,02/01/2013 9:00:00 AM,4926 S WOOD,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"FEDERAL NATL MTG ASSN, ",City non-suit,0,0,0,0,0,0,0,0,41.8040738,-87.67001025
12CP075213,P003361784|P003361785|P003361786|P003361787|P003361788|P003361789,10/12/2012,POLICE,12/07/2012 9:00:00 AM,1639 W 38 PL,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0,0,0,0,0,0,0,0,41.823866,-87.66689705
12CP075538,P002166478|P002166479|P002166480|P002166481|P002166482|P002166483,10/15/2012,POLICE,12/07/2012 1:00:00 AM,7121 S TALMAN,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"U S BANK NA, ",City non-suit,0,0,0,0,0,0,0,0,41.7639175,-87.68910687
12CP075915,P003361441|P003361442|P003361443|P003361444,10/19/2012,POLICE,12/07/2012 9:00:00 AM,5138 S EMERALD,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0,0,0,0,0,0,0,0,41.8004396,-87.64434821
12CP076369,P002165986,09/25/2012,POLICE,02/01/2013 1:00:00 AM,11734 S PRAIRIE,13-12-125  Duty to secure and maintain vacant building.,"EMC MORTGAGE CORP, ",City non-suit,300,0,13.66,95.88,0,449.54,904.79,-455.25,41.6803262,-87.61689873
12CP076369,P002165987,09/25/2012,POLICE,02/01/2013 1:00:00 AM,11734 S PRAIRIE,13-12-140  Watchman required,"EMC MORTGAGE CORP, ",Default - Liable by prove-up,300,0,13.66,95.88,0,449.54,904.79,-455.25,41.6803262,-87.61689873
12CP077180,P003261374|P003261375|P003261376|P003261377|P003261378|P003261379,10/16/2012,POLICE,12/07/2012 9:00:00 AM,5714 S MARSHFIELD,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"REO PARTNERS LLC, ",City non-suit,0,0,0,0,0,0,0,0,41.830017,-87.666718
12CP077184,P003261395|P003261396|P003261397|P003261398|P003261399|P003261400,10/16/2012,POLICE,12/07/2012 9:00:00 AM,6208 S MORGAN,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CHASE REO GROUP LLC, ",City non-suit,0,0,0,0,0,0,0,0,41.78114565,-87.64994553
12CP077184,P003261395|P003261396|P003261397|P003261398|P003261399|P003261400,10/16/2012,POLICE,12/07/2012 9:00:00 AM,6208 S MORGNA,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CHASE REO GROUP LLC, ",City non-suit,0,0,0,0,0,0,0,0,41.78114565,-87.64994553
12CP077401,P003361869|P003361870|P003361871|P003361872|P003361873|P003361874,10/23/2012,POLICE,12/07/2012 9:00:00 AM,2622 W 35TH PL,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.82952415,-87.69087902
12CP077403,P003361051|P003361052|P003361053|P003361054|P003361850|P003361875,10/24/2012,POLICE,12/07/2012 9:00:00 AM,2419 W 45TH PL,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0,0,0,0,0,0,0,0,41.81092285,-87.68536432
12CP077405,P003361863|P003361865|P003361867,10/23/2012,POLICE,12/07/2012 9:00:00 AM,4136 S ARTESIAN,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK AND TRUST, ",City non-suit,1300,0,104.74,0,0,1444.74,1443.75,0,41.81819845,-87.6862226
12CP077405,P003361864|P003361866|P003361868,10/23/2012,POLICE,12/07/2012 9:00:00 AM,4136 S ARTESIAN,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK AND TRUST, ",Default - Liable by prove-up,1300,0,104.74,0,0,1444.74,1443.75,0,41.81819845,-87.6862226
12CP077406,P003361857|P003361858|P003361859|P003361860|P003361861|P003361862,10/21/2012,POLICE,12/07/2012 9:00:00 AM,3523 S FRANCISCO,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK AND TRUST, ",City non-suit,0,0,0,0,0,0,0,0,41.8293105,-87.6969935
