Year,Term,Subject,Number,Name
2019,Fall,AAS,100,Intro Asian American Studies
2019,Fall,AAS,105,Introduction to Arab American Studies
2019,Fall,AAS,120,Intro to Asian Am Pop Culture
2019,Fall,AAS,199,Undergraduate Open Seminar
2019,Fall,AAS,200,U.S. Race and Empire
2019,Fall,AAS,201,US Racial &amp; Ethnic Politics
2019,Fall,AAS,211,Asian Americans and the Arts
2019,Fall,AAS,215,US Citizenship Comparatively
2019,Fall,AAS,224,Asian Am Historical Sociology
2019,Fall,AAS,246,Asian American Youth in Film
2019,Fall,AAS,258,Muslims in America
2019,Fall,AAS,260,Intro Asian American Theatre
2019,Fall,AAS,265,Politics of Hip Hop
2019,Fall,AAS,275,The Politics of Fashion
2019,Fall,AAS,281,Constructing Race in America
2019,Fall,AAS,282,Feminist and Queer Activisms
2019,Fall,AAS,283,Asian American History
2019,Fall,AAS,286,Asian American Literature
2019,Fall,AAS,287,Food and Asian Americans
2019,Fall,AAS,288,Global Islam and Feminisms
2019,Fall,AAS,290,Individual Study
2019,Fall,AAS,291,Hinduism in the United States
2019,Fall,AAS,297,Asian Families in America
2019,Fall,AAS,299,Begin Topics Asian Am Studies
2019,Fall,AAS,300,"Theories of Race, Gender, and Sexuality"
2019,Fall,AAS,310,Race and Cultural Diversity
2019,Fall,AAS,315,"War, Memory, and Cinema"
2019,Fall,AAS,317,Asian American Politics
2019,Fall,AAS,328,Asian Americans &amp; Inequalities
2019,Fall,AAS,343,Criminalization and Punishment
2019,Fall,AAS,346,Asian American Youth
2019,Fall,AAS,355,Race and Mixed Race
2019,Fall,AAS,365,Asian American Media and Film
2019,Fall,AAS,370,"Immigration, Law, and Rights"
2019,Fall,AAS,375,"Prisons, Race, and Terror"
2019,Fall,AAS,390,Intermed Topics Asian Am St
2019,Fall,AAS,395,Adv Asian Am Undergrad Reading
2019,Fall,AAS,400,Critical Ethnic Studies
2019,Fall,AAS,402,Asian American Education
2019,Fall,AAS,435,Commodifying Difference
2019,Fall,AAS,464,Theories &amp; Theologies of Liberation
2019,Fall,AAS,465,"Race, Sex, and Deviance"
2019,Fall,AAS,479,"Race, Medicine, and Society"
2019,Fall,AAS,490,Adv Topics in Asian Am Studies
2019,Fall,AAS,501,Theory and Methods in AAS
2019,Fall,AAS,539,"Youth, Culture and Society"
2019,Fall,AAS,561,Race and Cultural Critique
2019,Fall,AAS,589,Readings in Asian Am Studies
2019,Fall,AAS,590,Asian Am Studies Seminar
2019,Fall,ABE,100,Intro Agric &amp; Biological Engrg
2019,Fall,ABE,141,ABE Principles: Biological
2019,Fall,ABE,199,Undergraduate Open Seminar
2019,Fall,ABE,223,ABE Principles: Machine Syst
2019,Fall,ABE,224,ABE Principles: Soil &amp; Water
2019,Fall,ABE,225,ABE Principles: Bioenvironment
2019,Fall,ABE,226,ABE Principles: Bioprocessing
2019,Fall,ABE,341,Transport Processes in ABE
2019,Fall,ABE,361,Off-Road Machine Design
2019,Fall,ABE,397,Independent Study
2019,Fall,ABE,398,Special Topics
2019,Fall,ABE,424,Principles of Mobile Robotics
2019,Fall,ABE,425,Engrg Measurement Systems
2019,Fall,ABE,430,Project Management
2019,Fall,ABE,436,Renewable Energy Systems
2019,Fall,ABE,440,Applied Statistical Methods I
2019,Fall,ABE,445,Statistical Methods
2019,Fall,ABE,446,Biological Nanoengineering
2019,Fall,ABE,454,Environmental Soil Physics
2019,Fall,ABE,455,Erosion and Sediment Control
2019,Fall,ABE,456,Land &amp; Water Resources Engrg
2019,Fall,ABE,457,NPS Pollution Processes
2019,Fall,ABE,458,NPS Pollution Modeling
2019,Fall,ABE,459,Drainage and Water Management
2019,Fall,ABE,463,Electrohydraulic Systems
2019,Fall,ABE,466,Engineering Off-Road Vehicles
2019,Fall,ABE,469,Industry-Linked Design Project
2019,Fall,ABE,474,Indoor Environmental Control
2019,Fall,ABE,476,Indoor Air Quality Engineering
2019,Fall,ABE,482,Package Engineering
2019,Fall,ABE,483,Engrg Properties of Food Matls
2019,Fall,ABE,488,Bioprocessing Biomass for Fuel
2019,Fall,ABE,497,Independent Study
2019,Fall,ABE,498,Special Topics
2019,Fall,ABE,501,Graduate Research I
2019,Fall,ABE,502,Graduate Research II
2019,Fall,ABE,594,Graduate Seminar
2019,Fall,ABE,597,Independent Study
2019,Fall,ABE,598,Special Topics
2019,Fall,ABE,599,Thesis Research
2019,Fall,ACCY,199,Undergraduate Open Seminar
2019,Fall,ACCY,200,Fundamentals of Accounting
2019,Fall,ACCY,201,Accounting and Accountancy I
2019,Fall,ACCY,202,Accounting and Accountancy II
2019,Fall,ACCY,211,Understanding Financial Statements
2019,Fall,ACCY,212,Understanding Accounting for Business Decisions
2019,Fall,ACCY,290,Prof Internship in Accountancy
2019,Fall,ACCY,301,Atg Measurement &amp; Disclosure
2019,Fall,ACCY,302,Decision Making for Atg
2019,Fall,ACCY,303,Accounting Institutions and Regulation
2019,Fall,ACCY,304,Accounting Control Systems
2019,Fall,ACCY,312,Principles of Taxation
2019,Fall,ACCY,321,Principles of Public Policy
2019,Fall,ACCY,398,Practical Problems in Atg
2019,Fall,ACCY,405,Assurance and Attestation
2019,Fall,ACCY,410,Advanced Financial Reporting
2019,Fall,ACCY,415,Auditing Stds and Practice
2019,Fall,ACCY,451,Advanced Income Tax Problems
2019,Fall,ACCY,499,Senior Research
2019,Fall,ACCY,500,"Accounting Measurement, Reporting, and Control"
2019,Fall,ACCY,501,Accounting Analysis I
2019,Fall,ACCY,502,Accounting Analysis II
2019,Fall,ACCY,503,Managerial Accounting
2019,Fall,ACCY,504,Auditing
2019,Fall,ACCY,505,Federal Taxation
2019,Fall,ACCY,506,Advanced Topics in Accounting
2019,Fall,ACCY,507,Taxation of Business Entities
2019,Fall,ACCY,510,Financial Reporting Standards
2019,Fall,ACCY,511,External Risk Measurement and Reporting
2019,Fall,ACCY,512,Data Analytics for Management Accounting
2019,Fall,ACCY,515,Auditing &amp; Assurance Standards
2019,Fall,ACCY,516,Professional Responsibility and Ethics for Accountants
2019,Fall,ACCY,517,Financial Statement Analysis
2019,Fall,ACCY,518,Financial Statement Fraud
2019,Fall,ACCY,550,Multistate Taxation
2019,Fall,ACCY,551,Corporate Income Taxation
2019,Fall,ACCY,552,Partnership Income Taxation
2019,Fall,ACCY,553,Selected Topics in Fed Tax
2019,Fall,ACCY,554,International Taxation
2019,Fall,ACCY,555,Income Tax Accounting
2019,Fall,ACCY,556,Tax Research
2019,Fall,ACCY,557,Accounting Periods and Methods
2019,Fall,ACCY,558,Taxation of Closely-Held Bus.
2019,Fall,ACCY,559,Tax Policy
2019,Fall,ACCY,560,Information in Value Creation
2019,Fall,ACCY,561,Taxes and Business Strategy
2019,Fall,ACCY,562,Tax Procedures
2019,Fall,ACCY,563,Consolidated Returns
2019,Fall,ACCY,564,Reorganizations
2019,Fall,ACCY,569,Data Driven Decisions in Accounting
2019,Fall,ACCY,570,Data Analytics Foundations for Accountancy
2019,Fall,ACCY,571,Statistical Analyses for Accountancy
2019,Fall,ACCY,575,Data Analytics Applications in Accountancy
2019,Fall,ACCY,585,Constructs in Atg Research
2019,Fall,ACCY,590,Adv Prof Internship in ACCY
2019,Fall,ACCY,592,Introduction to Accounting Research
2019,Fall,ACCY,593,Special Research Problems
2019,Fall,ACCY,594,Doctoral Research Seminar
2019,Fall,ACCY,595,Models of Decision and Choice
2019,Fall,ACCY,599,Thesis Research
2019,Fall,ACE,100,Agr Cons and Resource Econ
2019,Fall,ACE,161,Microcomputer Applications
2019,Fall,ACE,199,Undergraduate Open Seminar
2019,Fall,ACE,210,Environmental Economics
2019,Fall,ACE,222,Agricultural Marketing
2019,Fall,ACE,231,Food and Agribusiness Mgt
2019,Fall,ACE,232,Farm Management
2019,Fall,ACE,240,Personal Financial Planning
2019,Fall,ACE,251,The World Food Economy
2019,Fall,ACE,254,Economic Systems in Africa
2019,Fall,ACE,255,Economics of Food and Environmental Justice
2019,Fall,ACE,261,Applied Statistical Methods
2019,Fall,ACE,270,Consumer Economics
2019,Fall,ACE,291,Ag Policy &amp; Leadership
2019,Fall,ACE,292,"Farm, Food &amp; Environmental Policy"
2019,Fall,ACE,293,Off-Campus Internship
2019,Fall,ACE,294,On-Campus Internship
2019,Fall,ACE,295,Independent Study
2019,Fall,ACE,306,Food Law
2019,Fall,ACE,310,Natural Resource Economics
2019,Fall,ACE,321,Principles of Public Policy
2019,Fall,ACE,335,Food Marketing and Behavior
2019,Fall,ACE,341,Issues&amp;Careers in Applied Econ
2019,Fall,ACE,345,Finan Decision Indiv Sm Bus
2019,Fall,ACE,346,Tax Policy and Finan Planning
2019,Fall,ACE,360,Spreadsheet Models &amp; Applic
2019,Fall,ACE,396,Honors Research or Thesis
2019,Fall,ACE,398,Seminar
2019,Fall,ACE,403,Agricultural Law
2019,Fall,ACE,406,Environmental Law
2019,Fall,ACE,410,Energy Economics
2019,Fall,ACE,411,Environment and Development
2019,Fall,ACE,427,Commodity Price Analysis
2019,Fall,ACE,428,Commodity Futures and Options
2019,Fall,ACE,430,Food Marketing
2019,Fall,ACE,431,Agri-food Strategic Management
2019,Fall,ACE,432,Farm Management
2019,Fall,ACE,435,Global Agribusiness Management
2019,Fall,ACE,436,Intl Business Immersion
2019,Fall,ACE,440,Finan Plan for Professionals
2019,Fall,ACE,444,Finan Serv &amp; Invest Plan
2019,Fall,ACE,445,Intermediate Personal Fin Plan
2019,Fall,ACE,446,Modeling App's Finan Plan
2019,Fall,ACE,447,Case Stud Agr Accy &amp; Fin Plan
2019,Fall,ACE,448,Rural Real Estate Appraisal
2019,Fall,ACE,449,Retirement &amp; Benefit Planning
2019,Fall,ACE,451,Agriculture in Intl Dev
2019,Fall,ACE,452,The Latin American Economies
2019,Fall,ACE,454,Econ Dev of Tropical Africa
2019,Fall,ACE,455,Intl Trade in Food and Agr
2019,Fall,ACE,456,Agr and Food Policies
2019,Fall,ACE,471,Consumer Economic Policy
2019,Fall,ACE,474,Econ of Consumption
2019,Fall,ACE,476,Behavioral Economics and Financial Decision Making
2019,Fall,ACE,496,Practicum
2019,Fall,ACE,499,Seminar
2019,Fall,ACE,500,Applied Economic Theory
2019,Fall,ACE,501,Risk and Info: Theory and App
2019,Fall,ACE,502,Demand/Supply/Firms/Households
2019,Fall,ACE,503,Equilibrium and Welfare Econ
2019,Fall,ACE,510,Adv Natural Resource Economics
2019,Fall,ACE,516,Environmental Economics
2019,Fall,ACE,520,Time Series Econometrics for Price Analysis
2019,Fall,ACE,527,Advanced Price Analysis
2019,Fall,ACE,528,Research in Futures Markets
2019,Fall,ACE,530,Microeconometrics
2019,Fall,ACE,531,Impact Evaluation
2019,Fall,ACE,532,Spatial Econometrics
2019,Fall,ACE,542,Advanced Agricultural Finance
2019,Fall,ACE,552,Regional Development Theory
2019,Fall,ACE,555,Economic Impact Analysis
2019,Fall,ACE,556,Agr Policy and Political Econ
2019,Fall,ACE,557,"Food, Poverty and Development"
2019,Fall,ACE,559,"Food, Trade and Development"
2019,Fall,ACE,561,Adv Res and Scholarly Comm
2019,Fall,ACE,562,Applied Regression Models I
2019,Fall,ACE,563,Math Program App Econ I
2019,Fall,ACE,564,Applied Regression Models II
2019,Fall,ACE,566,Mathematics for Applied Econ
2019,Fall,ACE,567,Math Program App Econ II
2019,Fall,ACE,569,Career Development for PhDs
2019,Fall,ACE,571,Household Economics
2019,Fall,ACE,591,Independent Study
2019,Fall,ACE,592,Special Topics
2019,Fall,ACE,594,Seminars and Workshops
2019,Fall,ACE,599,Thesis Research
2019,Fall,ACES,101,Contemporary Issues in ACES
2019,Fall,ACES,102,Intro Sustainable Food Systems
2019,Fall,ACES,179,History of Ag in IL Since 1860
2019,Fall,ACES,199,Undergraduate Open Seminar
2019,Fall,ACES,200,ACES Transfer Orientation
2019,Fall,ACES,293,International Internship
2019,Fall,ACES,295,Undergrad Research or Thesis
2019,Fall,ACES,298,International Experience
2019,Fall,ACES,299,ACES Study Abroad
2019,Fall,ACES,396,Honors Study Abroad Retrospect
2019,Fall,ACES,399,Honors Seminar
2019,Fall,ACES,499,Interdisciplinary ACES Seminar
2019,Fall,ADV,150,Introduction to Advertising
2019,Fall,ADV,199,Undergraduate Seminar
2019,Fall,ADV,270,Principles of Sales
2019,Fall,ADV,281,Advertising Research Methods
2019,Fall,ADV,283,Advertising and Brand Strategy
2019,Fall,ADV,284,Consumer Insight
2019,Fall,ADV,290,Special Topics in Advertising
2019,Fall,ADV,305,"Digital Advertising Content, Technologies and Concepts"
2019,Fall,ADV,310,Intro to Public Relations
2019,Fall,ADV,311,Classic Campaigns
2019,Fall,ADV,312,Advertising History
2019,Fall,ADV,315,Emerging Media
2019,Fall,ADV,320,Sales Management
2019,Fall,ADV,350,Writing for Public Relations
2019,Fall,ADV,370,Sales and the Consumer
2019,Fall,ADV,390,Content Creation
2019,Fall,ADV,393,Advertising and Society
2019,Fall,ADV,396,Research Experience in Advertising
2019,Fall,ADV,399,Advertising Study Abroad
2019,Fall,ADV,400,Special Problems
2019,Fall,ADV,409,Media Entrepreneurship
2019,Fall,ADV,410,Public Relations Strategies
2019,Fall,ADV,452,Creative Concepts I
2019,Fall,ADV,454,Creative Concepts II
2019,Fall,ADV,460,Innovation in Advertising
2019,Fall,ADV,461,Computational Advertising
2019,Fall,ADV,475,Multicultural Advertising
2019,Fall,ADV,476,Global Advertising
2019,Fall,ADV,478,Psychology of Advertising
2019,Fall,ADV,481,Advertising Research Methods
2019,Fall,ADV,482,Qualitative Analysis in Advert
2019,Fall,ADV,483,Audience Analysis
2019,Fall,ADV,484,Quantitative Research Methods
2019,Fall,ADV,490,Advanced Special Topics in Advertising
2019,Fall,ADV,491,Advertising Management Plan
2019,Fall,ADV,492,Tech and Advertising Campaigns
2019,Fall,ADV,494,Persuasion Consumer Response
2019,Fall,ADV,495,Internship Seminar
2019,Fall,ADV,496,UG Research Project
2019,Fall,ADV,497,Colloquium in Advertising
2019,Fall,ADV,498,The Sandage Project
2019,Fall,ADV,509,Media Entrepreneurship
2019,Fall,ADV,550,Foundations of Advertising
2019,Fall,ADV,580,Advertising Theory
2019,Fall,ADV,581,Quanti Research Methods in Adv
2019,Fall,ADV,582,Qualitative Rsrch in Advert
2019,Fall,ADV,587,Graduate Seminar I
2019,Fall,ADV,588,Graduate Seminar II
2019,Fall,ADV,590,Special Topics in Advertising
2019,Fall,ADV,594,Advanced Topics in Advertising
2019,Fall,ADV,597,Proseminar in Advertising
2019,Fall,ADV,598,Professional Project
2019,Fall,ADV,599,Thesis Research
2019,Fall,AE,100,Intro to Aerospace Engineering
2019,Fall,AE,199,Undergraduate Open Seminar
2019,Fall,AE,202,Aerospace Flight Mechanics
2019,Fall,AE,298,Special Topics
2019,Fall,AE,302,Aerospace Flight Mechanics II
2019,Fall,AE,311,Incompressible Flow
2019,Fall,AE,312,Compressible Flow
2019,Fall,AE,321,Mechs of Aerospace Structures
2019,Fall,AE,323,Applied Aerospace Structures
2019,Fall,AE,352,Aerospace Dynamical Systems
2019,Fall,AE,353,Aerospace Control Systems
2019,Fall,AE,370,Aerospace Numerical Methods
2019,Fall,AE,395,Honors Project
2019,Fall,AE,396,Honors Seminar
2019,Fall,AE,397,Independent Study
2019,Fall,AE,398,Special Topics
2019,Fall,AE,402,Orbital Mechanics
2019,Fall,AE,403,Spacecraft Attitude Control
2019,Fall,AE,410,Computational Aerodynamics
2019,Fall,AE,412,Viscous Flow &amp; Heat Transfer
2019,Fall,AE,416,Applied Aerodynamics
2019,Fall,AE,419,Aircraft Flight Mechanics
2019,Fall,AE,420,Finite Element Analysis
2019,Fall,AE,427,Mechanics of Polymers
2019,Fall,AE,428,Mechanics of Composites
2019,Fall,AE,433,Aerospace Propulsion
2019,Fall,AE,434,Rocket Propulsion
2019,Fall,AE,435,Electric Propulsion
2019,Fall,AE,442,Aerospace Systems Design I
2019,Fall,AE,443,Aerospace Systems Design II
2019,Fall,AE,451,Aeroelasticity
2019,Fall,AE,454,Systems Dynamics &amp; Control
2019,Fall,AE,456,Global Nav Satellite Systems
2019,Fall,AE,460,Aerodynamics &amp; Propulsion Lab
2019,Fall,AE,461,Structures &amp; Control Lab
2019,Fall,AE,468,Optical Remote Sensing
2019,Fall,AE,482,Introduction to Robotics
2019,Fall,AE,483,Unmanned Aerial Vehicle (UAV) Navigation and Control
2019,Fall,AE,485,Spacecraft Environment and Interactions
2019,Fall,AE,497,Independent Study
2019,Fall,AE,498,Special Topics
2019,Fall,AE,502,Advanced Orbital Mechanics
2019,Fall,AE,504,Optimal Aerospace Systems
2019,Fall,AE,508,Optimal Space Trajectories
2019,Fall,AE,510,Advanced Gas Dynamics
2019,Fall,AE,511,Transonic Aerodynamics
2019,Fall,AE,512,Molecular Gas Dynamics
2019,Fall,AE,514,Boundary Layer Theory
2019,Fall,AE,515,Wing Theory
2019,Fall,AE,521,Fracture and Fatigue
2019,Fall,AE,522,Dynamic Response of Materials
2019,Fall,AE,523,Nanoscale Contact Mechanics
2019,Fall,AE,524,Nonlinear Solid Mech Design
2019,Fall,AE,525,Advanced Composite Materials
2019,Fall,AE,526,Composites Manufacturing
2019,Fall,AE,527,Multi-Scale Modeling of Materials
2019,Fall,AE,528,Nonlinear Continuous Media
2019,Fall,AE,529,Viscoelasticity Theory
2019,Fall,AE,538,Combustion Fundamentals
2019,Fall,AE,542,Aerospace Syst Engineering I
2019,Fall,AE,543,Aerospace Syst Engineering II
2019,Fall,AE,550,Nonlinear Aeroelasticity
2019,Fall,AE,551,Elastodynamics and Vibrations
2019,Fall,AE,554,Dynamical Systems Theory
2019,Fall,AE,555,Multivariable Control Design
2019,Fall,AE,556,Robust Control
2019,Fall,AE,560,Fracture Mechanics Laboratory
2019,Fall,AE,564,Advanced Aero Propulsion Lab
2019,Fall,AE,583,Advanced Robotic Planning
2019,Fall,AE,590,Seminar
2019,Fall,AE,597,Independent Study
2019,Fall,AE,598,Special Topics
2019,Fall,AE,599,Thesis Research
2019,Fall,AFAS,102,Leadership Laboratory
2019,Fall,AFAS,111,Heritage and Values of the United States Air Force I
2019,Fall,AFAS,112,Heritage and Values of the United States Air Force II
2019,Fall,AFAS,120,Intro to US Armed Forces
2019,Fall,AFAS,221,Team and Leadership Fundamentals I
2019,Fall,AFAS,222,Team and Leadership Fundamentals II
2019,Fall,AFAS,331,Leading People and Effective Communication I
2019,Fall,AFAS,332,Leading People and Effective Communication II
2019,Fall,AFAS,341,Nat Sec Afrs/Prep Actv Duty I
2019,Fall,AFAS,342,Nat Sec Afrs/Prep Actv Duty II
2019,Fall,AFRO,100,Intro to African American St
2019,Fall,AFRO,101,"Black America, 1619-Present"
2019,Fall,AFRO,103,Black Women in the Diaspora
2019,Fall,AFRO,105,Black Literature in America
2019,Fall,AFRO,106,Hist Arch Americas
2019,Fall,AFRO,132,African American Music
2019,Fall,AFRO,199,Undergraduate Open Seminar
2019,Fall,AFRO,201,US Racial &amp; Ethnic Politics
2019,Fall,AFRO,211,Intro to African-American Film
2019,Fall,AFRO,212,Intro African American Theat
2019,Fall,AFRO,215,US Citizenship Comparatively
2019,Fall,AFRO,220,Intro to Research Methods AfAm
2019,Fall,AFRO,221,History of the Prison
2019,Fall,AFRO,224,Humanist Persp of Afro-Am Exp
2019,Fall,AFRO,226,Black Women Contemp US Society
2019,Fall,AFRO,227,Studies in Black Television
2019,Fall,AFRO,228,Hip Hop Music: History and Culture
2019,Fall,AFRO,231,Lang Diff Dis: American Persp
2019,Fall,AFRO,243,Pan Africanism
2019,Fall,AFRO,250,Introduction to Health and Wellness in the Black Community
2019,Fall,AFRO,259,Early African American Literature and Culture
2019,Fall,AFRO,260,Modern African American Literature and Culture
2019,Fall,AFRO,261,Intro to the African Diaspora
2019,Fall,AFRO,272,Minority Images in Amer Film
2019,Fall,AFRO,275,Afro-American History to 1877
2019,Fall,AFRO,276,Afro-American Hist Since 1877
2019,Fall,AFRO,281,Constructing Race in America
2019,Fall,AFRO,287,African-American Women
2019,Fall,AFRO,290,Af Am Urban Hist Since 1917
2019,Fall,AFRO,298,Spec Topics African-Am Studies
2019,Fall,AFRO,310,Race and Cultural Diversity
2019,Fall,AFRO,312,Psychology of Race &amp; Ethnicity
2019,Fall,AFRO,315,African American Politics
2019,Fall,AFRO,340,Dancing Black Popular Culture
2019,Fall,AFRO,341,Gov &amp; Pol in Africa
2019,Fall,AFRO,342,Black Men and Masculinities
2019,Fall,AFRO,343,Criminalization and Punishment
2019,Fall,AFRO,372,Class Politics &amp; Blk Community
2019,Fall,AFRO,373,AfAm Cultr Politic Mid20C
2019,Fall,AFRO,378,Race and Revolutions
2019,Fall,AFRO,380,Black Women Hist &amp; Cultures
2019,Fall,AFRO,381,Black Women and Film
2019,Fall,AFRO,382,African Amer Families in Film
2019,Fall,AFRO,383,Hist of Blk Women's Activism
2019,Fall,AFRO,398,Spec Topics Afro-Am Studies
2019,Fall,AFRO,400,African Diasporic Thought in the Caribbean
2019,Fall,AFRO,407,Slavery &amp; Race in Latin Am
2019,Fall,AFRO,410,Hate Crimes
2019,Fall,AFRO,411,African American Psychology
2019,Fall,AFRO,415,Africana Feminisms
2019,Fall,AFRO,421,Racial and Ethnic Families
2019,Fall,AFRO,435,Commodifying Difference
2019,Fall,AFRO,453,Plantation Soc in Americas
2019,Fall,AFRO,460,Slavery in the United States
2019,Fall,AFRO,465,"Race, Sex, and Deviance"
2019,Fall,AFRO,466,"Race, Science, and Medicine"
2019,Fall,AFRO,474,"Black Freed Move, 1955-Present"
2019,Fall,AFRO,481,Urban Communities &amp; Public Pol
2019,Fall,AFRO,482,Immersion Journalism
2019,Fall,AFRO,490,Theory in African American St
2019,Fall,AFRO,495,Senior Thesis Seminar
2019,Fall,AFRO,498,Spec Topics African Am Studies
2019,Fall,AFRO,500,Core Probs African-Am Studies
2019,Fall,AFRO,501,Problems African American Hist
2019,Fall,AFRO,502,"Researching Black Families, Communities, and Neighborhoods"
2019,Fall,AFRO,504,Black Women's Studies
2019,Fall,AFRO,531,Race and Cultural Critique
2019,Fall,AFRO,552,Ethnography Urban Communities
2019,Fall,AFRO,560,African Diaspora Seminar
2019,Fall,AFRO,562,Archaeology and Racialization
2019,Fall,AFRO,595,Directed Independent Readings
2019,Fall,AFRO,597,Problems in African-Am Studies
2019,Fall,AFRO,598,Res Sem in African-Am Studies
2019,Fall,AFRO,599,Thesis Research
2019,Fall,AFST,103,Black Women in the Diaspora
2019,Fall,AFST,199,Undergraduate Open Seminar
2019,Fall,AFST,209,Constr Afr and Carib Identity
2019,Fall,AFST,210,Introduction to Modern African Literature
2019,Fall,AFST,213,African Muslim Societies
2019,Fall,AFST,222,Introduction to Modern Africa
2019,Fall,AFST,231,Elementary Swahili I
2019,Fall,AFST,232,Elementary Swahili II
2019,Fall,AFST,241,Elementary Wolof I
2019,Fall,AFST,242,Elementary Wolof II
2019,Fall,AFST,243,Pan Africanism
2019,Fall,AFST,251,Elementary Zulu I
2019,Fall,AFST,252,Elementary Zulu II
2019,Fall,AFST,254,Economic Systems in Africa
2019,Fall,AFST,266,African Film and Society
2019,Fall,AFST,312,Central African Art
2019,Fall,AFST,313,Modern and Contemp African Art
2019,Fall,AFST,325,Social Media and Global Change
2019,Fall,AFST,338,Egypt Since World War I
2019,Fall,AFST,405,Topics Swahili Lang &amp; Lit I
2019,Fall,AFST,406,Topics Swahili Lang &amp; Lit II
2019,Fall,AFST,407,Adv Topics Swahili Lang&amp;Lit I
2019,Fall,AFST,408,Adv Topics Swahili Lang&amp;Lit II
2019,Fall,AFST,410,Modern African Fiction
2019,Fall,AFST,412,Lang in African Culture &amp; Soc
2019,Fall,AFST,418,Topics Lingala Lang &amp; Lit II
2019,Fall,AFST,420,Africana Feminisms
2019,Fall,AFST,421,Sacred African Diaspora Arts
2019,Fall,AFST,425,Southern Africa Race &amp; Power
2019,Fall,AFST,433,Intermediate Swahili I
2019,Fall,AFST,434,Intermediate Swahili II
2019,Fall,AFST,435,Advanced Swahili I
2019,Fall,AFST,436,Advanced Swahili II
2019,Fall,AFST,443,Intermediate Wolof I
2019,Fall,AFST,444,Intermediate Wolof II
2019,Fall,AFST,445,Advanced Wolof I
2019,Fall,AFST,446,Advanced Wolof II
2019,Fall,AFST,447,Topics Wolof Lang &amp; Lit I
2019,Fall,AFST,451,Intermediate Zulu I
2019,Fall,AFST,452,Intermediate Zulu II
2019,Fall,AFST,453,Advanced Zulu I
2019,Fall,AFST,454,Advanced Zulu II
2019,Fall,AFST,467,Kinship-Culture-Power-Africa
2019,Fall,AFST,469,Structure of Semitic Languages
2019,Fall,AFST,490,Independent Study
2019,Fall,AFST,495,Special Topics
2019,Fall,AFST,509,Seminar in African Art
2019,Fall,AFST,510,Problems in African History
2019,Fall,AFST,511,Research Seminar: Africa
2019,Fall,AFST,515,Practicum in African Studies
2019,Fall,AFST,522,Development of African Studies
2019,Fall,AFST,550,Special Topics
2019,Fall,AFST,555,Multicultural Education and Global Perspectives
2019,Fall,AFST,560,African Diaspora Seminar
2019,Fall,AFST,599,Thesis Research
2019,Fall,AGCM,110,Intro to Ag and Env Comm
2019,Fall,AGCM,199,Undergraduate Open Seminar
2019,Fall,AGCM,220,Communicating Agriculture
2019,Fall,AGCM,230,Agricultural and Environmental Photography
2019,Fall,AGCM,250,Visual Principles for Ag Comm
2019,Fall,AGCM,270,Ag Sales and Persuasive Communication
2019,Fall,AGCM,293,Communications Internship
2019,Fall,AGCM,294,Research Internship
2019,Fall,AGCM,295,Independent Study or Research
2019,Fall,AGCM,315,Emerging Media
2019,Fall,AGCM,320,Public Information Campaigns
2019,Fall,AGCM,330,Environmental Communications
2019,Fall,AGCM,396,Honors Research or Thesis
2019,Fall,AGCM,398,Undergraduate Seminar
2019,Fall,AGCM,430,Comm in Env Social Movements
2019,Fall,AGCM,499,Seminar
2019,Fall,AGED,100,Intro to Ag &amp; Leadership Ed
2019,Fall,AGED,140,Harnessing Your Interpersonal Intelligence
2019,Fall,AGED,170,Leading Student Organizations
2019,Fall,AGED,199,Undergraduate Open Seminar
2019,Fall,AGED,220,Prog Del in Ag &amp; Leadership Ed
2019,Fall,AGED,230,Leadership Communications
2019,Fall,AGED,250,Observation and Program Analys
2019,Fall,AGED,260,Intro to Leadership Studies
2019,Fall,AGED,280,Training Needs Assessment
2019,Fall,AGED,293,Ag Leadership Internship
2019,Fall,AGED,295,Independent Study or Research
2019,Fall,AGED,300,Training and Development
2019,Fall,AGED,310,Prof Dev in Leadership Ed
2019,Fall,AGED,340,Leadership Ethics &amp; Pluralism
2019,Fall,AGED,350,Early Field Experience
2019,Fall,AGED,360,Advanced Leadership Studies
2019,Fall,AGED,380,Leadership in Groups and Teams
2019,Fall,AGED,396,Honors Research or Thesis
2019,Fall,AGED,400,Foundations of Ag &amp; Extn Ed
2019,Fall,AGED,410,Grad Early Field Experience
2019,Fall,AGED,420,Curr Design &amp; Instruction
2019,Fall,AGED,421,Teaching Strategies in AGED
2019,Fall,AGED,430,Youth Development Programs
2019,Fall,AGED,440,Interpersonal Intelligence for Professional Success
2019,Fall,AGED,450,Program Delivery and Eval
2019,Fall,AGED,451,Professional Dev in Ag Ed
2019,Fall,AGED,460,Advanced Leadership Studies
2019,Fall,AGED,470,Leading Professional Organizations and Communities
2019,Fall,AGED,480,Collaborative Leadership
2019,Fall,AGED,490,Adult Learning Principles
2019,Fall,AGED,499,Seminar
2019,Fall,AGED,500,Special Topics in Ag Education
2019,Fall,AGED,510,Education Program Management
2019,Fall,AGED,511,Grad Professional Dev in Ag Ed
2019,Fall,AGED,520,Teaching College-Level ACES
2019,Fall,AGED,540,Volunteer Management
2019,Fall,AGED,545,Research Methods &amp; Design
2019,Fall,AGED,549,Independent Study
2019,Fall,AGED,550,Advanced Program Delivery
