Several,A Few,Many,A Couple,Dozens,Some,Scores Of
7,3,30,4,10,6,20
18,6,12,5,50,8,100
7,3,7,2,30,20,100
15,5,30,2,24,7,20
7,4,10,2,6,7,12
9,7,16,4,36,5,80
12,5,20,8,12,10,15
8,4,20,2,48,10,80
9,3,7,4,26,4,20
10,4,100,8,48,5,1000
3,5,10,2,12,4,100
7,5,25,4,50,10,30
23,5,8,6,12,13,3
5,9,60,25,15,40,20
10,5,40,4,6,10,30
7,2,30,3,12,3,50
10,10,15,5,35,7,4
7,3,6,4,30,4,25
7,3,12,2,2,4,100
4,3,7,3,12,4,10
